City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,geraldton,-28.7667,114.6,299.38,47,41,10.29,AU,1679041115
177,wete,-5.0559,39.7294,304.16,55,35,2.24,TZ,1679041116
178,portland,45.5234,-122.6762,280.71,57,0,0.0,US,1679040986
179,cidreira,-30.1811,-50.2056,296.91,89,4,7.62,BR,1679041118
180,esperance,-33.8667,121.9,293.32,68,56,9.74,AU,1679041119
181,saldanha,-33.0117,17.9442,291.92,90,100,2.51,ZA,1679041119
182,vardo,70.3705,31.1107,269.14,74,75,8.75,NO,1679041120
183,san patricio,28.017,-97.5169,297.2,84,100,4.75,US,1679041120
184,yar-sale,66.8333,70.8333,264.49,86,100,4.77,RU,1679041121
185,limpapa,7.1197,121.9106,300.78,77,100,1.03,PH,1679041121
186,tabou,4.423,-7.3528,300.19,83,14,3.78,CI,1679041122
187,te anau,-45.4167,167.7167,283.6,75,38,2.41,NZ,1679041123
188,sale,34.0389,-6.8166,289.12,94,75,2.06,MA,1679041123
189,beibei,29.8256,106.4339,295.02,61,100,1.24,CN,1679041124
190,denpasar,-8.65,115.2167,303.55,74,40,4.63,ID,1679040885
191,harper,4.375,-7.7169,300.89,80,58,4.63,LR,1679041125
192,tignere,7.3667,12.65,300.4,22,100,0.78,CM,1679041125
193,praia da vitoria,38.7333,-27.0667,287.29,82,20,3.11,PT,1679041126
194,upernavik,72.7868,-56.1549,257.41,96,100,2.75,GL,1679041127
195,bathsheba,13.2167,-59.5167,297.49,73,40,3.6,BB,1679041128
196,touros,-5.1989,-35.4608,296.84,93,100,2.16,BR,1679040906
197,huarmey,-10.0681,-78.1522,297.62,82,100,2.9,PE,1679041128
198,garissa,-0.4536,39.6401,303.5,49,97,2.71,KE,1679041129
199,lufkin,31.3382,-94.7291,283.06,90,81,5.34,US,1679041130
200,abu kamal,34.4506,40.9171,292.28,51,3,3.39,SY,1679041130
201,sao filipe,14.8961,-24.4956,294.95,71,0,4.37,CV,1679041131
202,roald,62.5833,6.1333,280.66,87,75,2.57,NO,1679041132
